station,arrondissement,mm,dd,wday,AM,tot,temp,precip
Letourneux / Hochelaga,Mercier - Hochelaga-Maisonneuve,6,3,Saturday,2,47,15.9,0
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,6,30,Friday,6,52,22.8,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,5,31,Wednesday,47,249,22.8,0.8
35e avenue / Beaubien,Rosemont - La Petite-Patrie,9,25,Monday,7,28,16.3,0
Cartier / Dandurand,Rosemont - La Petite-Patrie,9,28,Thursday,20,69,15.1,0
Boyer / Bélanger,Rosemont - La Petite-Patrie,6,5,Monday,9,107,16.4,0
Hamilton / Jolicoeur,Le Sud-Ouest,7,18,Tuesday,10,47,22.8,10.2
Chambord / Beaubien,Rosemont - La Petite-Patrie,5,11,Thursday,21,107,17.9,0
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,10,26,Thursday,25,91,16.1,5.8
Parc Félix-Leclerc (François-Boivin / St-Zotique),Mercier - Hochelaga-Maisonneuve,5,16,Tuesday,0,8,9.2,4.5
Mozart / Waverly,Rosemont - La Petite-Patrie,6,23,Friday,1,39,23.7,0.2
5e avenue / Rosemont,Rosemont - La Petite-Patrie,7,23,Sunday,4,53,22.3,0
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,5,23,Tuesday,2,19,13.7,0
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,7,18,Tuesday,14,182,22.8,10.2
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,8,14,Monday,4,37,20.4,0
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,9,7,Thursday,0,33,26.1,0
Louis-Hébert / St-Zotique,Rosemont - La Petite-Patrie,7,14,Friday,5,35,21.3,0
